guide	gene	SUM149PT_T0	SUM149PT_T7_UT	SUM149PT_T7_OLA	CAPAN1_T0	CAPAN1_T7_UT	CAPAN1_T7_OLA
DOT1L_e6_95.7	DOT1L	439	572	691	553	520	827
DOT1L_e7_63.0	DOT1L	326	445	269	303	555	500
DOT1L_e7_63.3	DOT1L	852	1132	605	1290	1171	1730
DOT1L_e7_63.4	DOT1L	144	185	15	183	211	452
DOT1L_e8_56.0	DOT1L	267	628	117	331	278	202
DOT1L_e8_56.1	DOT1L	268	507	479	520	339	666
DOT1L_e8_56.3	DOT1L	668	671	577	721	804	1541
DOT1L_e9_80.5	DOT1L	442	563	602	450	241	599
DOT1L_e9_80.7	DOT1L	425	679	479	436	413	750
DOT1L_e9_80.8	DOT1L	652	451	761	592	764	1164
EHMT1_e24_87.1	EHMT1	161	30	34	219	59	227
EHMT1_e24_87.2	EHMT1	615	139	60	565	162	552
EHMT1_e24_87.3	EHMT1	188	55	0	209	64	196
EHMT1_e25_79.0	EHMT1	552	93	215	454	294	536
EHMT1_e25_79.1	EHMT1	142	112	87	195	55	37
EHMT1_e26_176.0	EHMT1	187	92	57	277	157	310
EHMT1_e26_176.1	EHMT1	302	34	26	266	164	310
EHMT1_e26_176.2	EHMT1	188	43	54	243	85	48
EHMT2_e23_87.1	EHMT2	344	110	64	504	352	725
EHMT2_e23_87.10	EHMT2	826	83	88	954	262	783
EHMT2_e23_87.11	EHMT2	435	96	12	597	285	529
EHMT2_e24_79.0	EHMT2	184	12	0	236	98	82
EHMT2_e25_176.13	EHMT2	192	28	38	321	73	338
EHMT2_e25_176.4	EHMT2	321	156	65	490	296	677
EHMT2_e25_176.5	EHMT2	321	66	57	421	227	515
ELP3_e13_81.0	ELP3	821	38	53	1131	159	523
ELP3_e13_81.1	ELP3	359	0	0	643	84	208
ELP3_e13_81.8	ELP3	384	0	6	423	48	165
ELP3_e14_82.0	ELP3	417	0	74	824	131	481
ELP3_e14_82.4	ELP3	177	0	0	142	35	85
ELP3_e15_58.1	ELP3	525	16	0	601	153	602
ELP3_e15_58.2	ELP3	308	7	0	482	320	513
EP300_BD_e17_111.2	EP300	383	124	40	492	141	482
EP300_BD_e17_111.6	EP300	142	41	22	151	89	150
EP300_BD_e17_111.7	EP300	430	141	16	434	124	129
EP300_BD_e18_196.14	EP300	160	449	286	278	120	783
EP300_BD_e18_196.15	EP300	552	1449	369	565	176	596
EP300_BD_e18_196.5	EP300	335	469	346	325	133	704
EP300_e25_147.10	EP300	107	67	16	122	57	27
EP300_e25_147.11	EP300	270	81	12	274	120	421
EP300_e25_147.3	EP300	380	136	15	489	119	300
EP300_e26_114.0	EP300	432	218	165	466	241	333
EP300_e26_114.5	EP300	743	441	217	748	178	428
EP300_e26_114.6	EP300	364	250	110	432	144	240
EP300_e27_166.3	EP300	160	29	0	200	98	134
EP300_e27_166.6	EP300	469	169	224	577	392	296
EP300_e27_166.7	EP300	311	99	159	368	174	145
EP300_e28_165.12	EP300	976	258	753	919	263	809
EP300_e28_165.2	EP300	308	412	82	549	113	457
EP300_e28_165.4	EP300	488	378	247	547	271	555
EP300_e29_162.10	EP300	376	553	267	538	261	701
EP300_e29_162.8	EP300	496	354	395	585	339	580
EP300_e29_162.9	EP300	670	331	67	551	203	599
EP400_D_e14_86.4	EP400	341	29	0	387	53	66
EP400_D_e15_137.3	EP400	215	1	0	278	6	217
EP400_D_e16_170.3	EP400	241	21	25	203	122	627
EP400_H_e28_170.6	EP400	262	0	0	424	159	132
EP400_H_e29_190.15	EP400	72	0	35	76	21	31
ERCC6_D_e7_105.7	ERCC6	470	82	405	423	265	373
ERCC6_D_e8_136.9	ERCC6	455	515	604	584	401	401
ERCC6_D_e9_171.1	ERCC6	413	154	220	490	702	867
ERCC6_H_e13_105.0	ERCC6	367	391	217	442	141	469
ERCC6_H_e14_111.2	ERCC6	841	664	222	911	435	1123
