guide	gene	NT_D3	NT_D21	Olaparib40nM_D21	Olaparib2uM_D21
sg_mRad23a_03	Rad23a	1554	2563	1804	137
sg_mMms19_06	Mms19	1242	654	462	10
sg_mRpa3_01	Rpa3	1097	2203	1950	13
sg_mXrcc4_07	Xrcc4	1071	1232	766	193
sg_mNthl1_01	Nthl1	1523	3451	2643	88
sg_mChaf1a_03	Chaf1a	1185	2417	2325	5
sg_Non_Targeting_Mouse_BB_0028	Non_Targeting_Mouse	1053	2765	2066	486
sg_mDdb2_05	Ddb2	970	2111	1836	9
sg_mPole_05	Pole	1175	323	242	81
sg_mRecql5_07	Recql5	1241	1640	920	7
sg_mPms1_04	Pms1	1248	2487	2000	89
sg_mTdp1_06	Tdp1	1245	566	347	1199
sg_mXrcc4_05	Xrcc4	1223	423	529	28
sg_mPolm_06	Polm	1283	2442	2267	47
sg_mPoli_03	Poli	1067	2193	1969	25
sg_mFancf_01	Fancf	1147	1911	1254	331
sg_mRad18_05	Rad18	1180	1651	979	10
sg_mPsmc1_07	Psmc1	1161	654	682	165
sg_Non_Targeting_Mouse_BB_0135	Non_Targeting_Mouse	1172	2828	2233	245
sg_mFaap20_01	Faap20	1163	2508	2009	4734
sg_mTrp53bp1_05	Trp53bp1	1627	5198	7045	9614
sg_Non_Targeting_Mouse_BB_0081	Non_Targeting_Mouse	1329	3221	2827	811
sg_mMlh3_03	Mlh3	1201	2623	2354	79
sg_mCopb1_03	Copb1	1167	328	304	37
sg_mMms19_01	Mms19	1245	221	175	30
sg_mBrca1_05	Brca1	1061	903	609	49
sg_mShprh_06	Shprh	1120	2484	2349	1769
sg_mMsh5_01	Msh5	1333	2440	2280	4653
sg_mXrcc5_07	Xrcc5	1010	270	247	47
sg_mGtf2h3_07	Gtf2h3	1148	353	204	9
sg_mCopa_01	Copa	1297	385	242	29
sg_mXrcc2_05	Xrcc2	1316	927	579	25
sg_Non_Targeting_Mouse_BB_0015	Non_Targeting_Mouse	1352	3417	2751	482
sg_mGen1_03	Gen1	1364	1923	1761	75
sg_mRad54l_07	Rad54l	1116	1219	615	2
sg_mSprtn_05	Sprtn	1093	418	226	55
sg_Non_Targeting_Mouse_BB_0036	Non_Targeting_Mouse	1379	3214	2899	38
sg_mSem1_01	Sem1	1118	535	424	112
sg_mRad52_01	Rad52	1134	1745	1486	52
sg_mPoln_07	Poln	1248	2681	2067	11
sg_mPolk_06	Polk	1093	2185	1612	2838
sg_mXrcc5_05	Xrcc5	1214	611	398	121
sg_mXrcc4_06	Xrcc4	1121	1192	658	810
sg_mRbbp8_06	Rbbp8	1051	890	462	28
sg_mRev1_07	Rev1	1115	1183	878	25
sg_mRdm1_02	Rdm1	1150	2131	1442	193
sg_mRad54b_07	Rad54b	844	1939	1637	143
sg_mMsh6_04	Msh6	1265	2020	1825	2236
sg_mLig4_01	Lig4	1239	768	544	106
sg_mPer1_02	Per1	1237	2384	1753	1101
sg_mRad23b_02	Rad23b	1283	1022	730	11
sg_mGtf2h4_01	Gtf2h4	1272	790	601	152
sg_mChek1_02	Chek1	1199	685	366	395
sg_mLig3_04	Lig3	1271	1846	1115	48
sg_mXrcc3_02	Xrcc3	1189	255	189	18
sg_mHelq_05	Helq	1603	2758	1281	52
sg_mRad52_06	Rad52	1198	1878	1521	45
sg_mPrkdc_02	Prkdc	1068	877	581	23
sg_mUbe2b_07	Ube2b	1291	2982	2411	60
sg_mShprh_04	Shprh	1135	2233	1756	7458
sg_mMre11a_03	Mre11a	1159	297	271	105
sg_mCcnh_02	Ccnh	1119	620	472	150
sg_mDdb1_03	Ddb1	1200	246	227	22
sg_mPoli_07	Poli	1295	2573	2564	77
sg_Non_Targeting_Mouse_BB_0098	Non_Targeting_Mouse	1177	2906	2787	21
sg_Non_Targeting_Mouse_BB_0011	Non_Targeting_Mouse	1105	2625	2162	341
sg_mUvssa_02	Uvssa	1515	3251	2494	188
sg_mHelq_03	Helq	991	1864	1136	598
sg_mExo1_06	Exo1	1072	742	429	5
sg_mGen1_06	Gen1	1134	1355	1221	114
sg_mRad23a_06	Rad23a	1138	738	557	14771
sg_mMsh6_01	Msh6	1149	2207	1835	59
sg_mPer1_01	Per1	1436	3281	2588	1622
sg_mCcnh_03	Ccnh	1138	330	295	122
sg_mPoln_04	Poln	1137	2675	1998	22
sg_mPalb2_07	Palb2	1042	1059	683	4
sg_mWrn_06	Wrn	1150	1847	1288	20229
sg_mAtr_04	Atr	1204	617	467	9
sg_mRev1_05	Rev1	1255	1393	1075	1130
sg_mPoll_01	Poll	1411	2454	1939	78
sg_mCcnh_05	Ccnh	1507	589	421	13
sg_mRnf168_04	Rnf168	1293	748	379	5
sg_mPms2_04	Pms2	1035	1365	828	18
sg_Non_Targeting_Mouse_BB_0016	Non_Targeting_Mouse	1153	3266	2294	1696
sg_mPolq_07	Polq	1380	550	304	36
sg_mHus1_01	Hus1	1041	211	192	6
sg_mPold1_06	Pold1	1369	351	274	12
